FIT Profiler Report
Profile stats for: records
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                       aten::zeros_like         0.00%     106.000us         0.03%       1.080ms      45.000us       0.000us         0.00%     102.000us       4.250us            24  
                                             aten::sub_         0.02%     582.000us         0.03%       1.059ms      27.154us      74.000us         0.01%      74.000us       1.897us            39  
                                          aten::flatten         0.00%      14.000us         0.03%       1.047ms     349.000us       0.000us         0.00%       0.000us       0.000us             3  
        aten::binary_cross_entropy_with_logits_backward         0.00%     125.000us         0.03%       1.007ms      67.133us       0.000us         0.00%     113.000us       7.533us            15  
                                        aten::expand_as         0.01%     391.000us         0.03%     959.000us       4.320us       0.000us         0.00%       0.000us       0.000us           222  
                                              aten::min         0.00%      84.000us         0.03%     910.000us      37.917us       0.000us         0.00%     439.000us      18.292us            24  
                                           aten::unfold         0.02%     597.000us         0.03%     904.000us       2.790us       0.000us         0.00%       0.000us       0.000us           324  
                                          aten::minimum         0.02%     486.000us         0.03%     826.000us      34.417us     439.000us         0.05%     439.000us      18.292us            24  
                                             aten::ones         0.00%     126.000us         0.03%     810.000us      33.750us       0.000us         0.00%      17.000us       0.708us            24  
                                           aten::clamp_         0.00%     103.000us         0.02%     743.000us      30.958us       0.000us         0.00%      41.000us       1.708us            24  
                                           ViewBackward         0.01%     171.000us         0.02%     675.000us       9.000us       0.000us         0.00%       0.000us       0.000us            75  
                                           aten::detach         0.01%     247.000us         0.02%     598.000us       4.746us       0.000us         0.00%       0.000us       0.000us           126  
                                              aten::all         0.01%     293.000us         0.02%     585.000us      48.750us      53.000us         0.01%      53.000us       4.417us            12  
                                             aten::exp_         0.01%     258.000us         0.02%     546.000us      18.200us      46.000us         0.00%      46.000us       1.533us            30  
                                     aten::index_select         0.01%     228.000us         0.02%     506.000us      42.167us      26.000us         0.00%      26.000us       2.167us            12  
                                         nccl:broadcast         0.00%       0.000us             0     483.000us      80.500us       0.000us         0.00%       0.000us       0.000us             6  
                                   cudaFuncSetAttribute         0.01%     474.000us         0.01%     474.000us       0.648us       0.000us         0.00%       0.000us       0.000us           732  
                                          aten::squeeze         0.01%     342.000us         0.01%     436.000us       6.056us       0.000us         0.00%       0.000us       0.000us            72  
                                          aten::detach_         0.01%     260.000us         0.01%     421.000us       2.864us       0.000us         0.00%       0.000us       0.000us           147  
                                    cudaStreamWaitEvent         0.01%     401.000us         0.01%     401.000us       2.970us       0.000us         0.00%       0.000us       0.000us           135  
                                                 detach         0.01%     351.000us         0.01%     379.000us       3.008us       0.000us         0.00%       0.000us       0.000us           126  
                                        NllLossBackward         0.00%      57.000us         0.01%     340.000us     113.333us       0.000us         0.00%       9.000us       3.000us             3  
                                              aten::exp         0.01%     185.000us         0.01%     326.000us      27.167us      15.000us         0.00%      15.000us       1.250us            12  
                                            aten::alias         0.01%     309.000us         0.01%     309.000us       1.493us       0.000us         0.00%       0.000us       0.000us           207  
                                           SumBackward0         0.00%      97.000us         0.01%     308.000us       8.556us       0.000us         0.00%       0.000us       0.000us            36  
                                        aten::remainder         0.00%     151.000us         0.01%     308.000us      51.333us      10.000us         0.00%      10.000us       1.667us             6  
                             UpsampleNearest2DBackward1         0.00%      31.000us         0.01%     293.000us      32.556us       0.000us         0.00%       1.463ms     162.556us             9  
                                aten::nll_loss_backward         0.00%     151.000us         0.01%     283.000us      94.333us       9.000us         0.00%       9.000us       3.000us             3  
                                             aten::log_         0.00%     133.000us         0.01%     263.000us      17.533us      22.000us         0.00%      22.000us       1.467us            15  
                      aten::upsample_nearest2d_backward         0.00%     156.000us         0.01%     262.000us      29.111us       1.463ms         0.16%       1.463ms     162.556us             9  
                                        PermuteBackward         0.00%      82.000us         0.01%     254.000us       8.467us       0.000us         0.00%       0.000us       0.000us            30  
                                     UnsafeViewBackward         0.00%      57.000us         0.01%     236.000us       7.867us       0.000us         0.00%       0.000us       0.000us            30  
                                     LogSoftmaxBackward         0.00%      49.000us         0.01%     226.000us      75.333us       0.000us         0.00%       9.000us       3.000us             3  
                           MaxPool2DWithIndicesBackward         0.00%      37.000us         0.01%     212.000us      70.667us       0.000us         0.00%      67.000us      22.333us             3  
                                          aten::divide_         0.00%      24.000us         0.01%     183.000us      61.000us       0.000us         0.00%       5.000us       1.667us             3  
                                                detach_         0.01%     161.000us         0.01%     177.000us       1.204us       0.000us         0.00%       0.000us       0.000us           147  
                       aten::_log_softmax_backward_data         0.00%      67.000us         0.01%     177.000us      59.000us       9.000us         0.00%       9.000us       3.000us             3  
                 aten::max_pool2d_with_indices_backward         0.00%      74.000us         0.01%     175.000us      58.333us      55.000us         0.01%      67.000us      22.333us             3  
